Date,Value
31-Dec-23,122.65
30-Nov-23,120.05
31-Oct-23,125.53
30-Sep-23,127.78
31-Aug-23,125.33
31-Jul-23,130.97
30-Jun-23,134.36
31-May-23,136.93
30-Apr-23,142.63
31-Mar-23,138.26
28-Feb-23,145.53
31-Jan-23,146.46
31-Dec-22,143.93
30-Nov-22,150.48
31-Oct-22,156.60
30-Sep-22,148.13
31-Aug-22,138.38
31-Jul-22,144.83
30-Jun-22,157.93
31-May-22,169.04
30-Apr-22,164.60
31-Mar-22,158.69
28-Feb-22,138.64
31-Jan-22,133.23
31-Dec-21,129.15
30-Nov-21,125.93
31-Oct-21,121.17
30-Sep-21,118.27
31-Aug-21,120.73
31-Jul-21,122.74
30-Jun-21,128.00
31-May-21,133.68
30-Apr-21,123.65
31-Mar-21,119.44
28-Feb-21,123.18
31-Jan-21,119.95
31-Dec-20,108.11
30-Nov-20,104.80
31-Oct-20,102.76
30-Sep-20,97.65
31-Aug-20,91.06
31-Jul-20,90.13
30-Jun-20,88.91
31-May-20,88.23
30-Apr-20,94.53
31-Mar-20,92.49
29-Feb-20,91.86
31-Jan-20,93.64
31-Dec-19,89.87
30-Nov-19,88.18
31-Oct-19,88.13
30-Sep-19,85.02
31-Aug-19,86.12
31-Jul-19,92.96
30-Jun-19,95.57
31-May-19,88.88
30-Apr-19,86.71
31-Mar-19,87.63
28-Feb-19,89.97
31-Jan-19,88.45
31-Dec-18,88.39
30-Nov-18,85.85
31-Oct-18,87.37
30-Sep-18,85.80
31-Aug-18,90.40
31-Jul-18,86.67
30-Jun-18,90.48
31-May-18,94.41
30-Apr-18,93.65
31-Mar-18,89.11
28-Feb-18,86.86
31-Jan-18,86.09
31-Dec-17,81.40
30-Nov-17,80.33
31-Oct-17,79.08
30-Sep-17,79.61
31-Aug-17,78.49
31-Jul-17,85.43
30-Jun-17,86.60
31-May-17,83.42
30-Apr-17,78.80
31-Mar-17,77.40
28-Feb-17,78.11
31-Jan-17,77.89
31-Dec-16,74.70
30-Nov-16,75.06
31-Oct-16,75.53
30-Sep-16,75.43
31-Aug-16,77.70
31-Jul-16,82.48
30-Jun-16,88.83
31-May-16,85.90
30-Apr-16,84.31
31-Mar-16,82.90
29-Feb-16,82.61
31-Jan-16,82.77
31-Dec-15,82.61
30-Nov-15,82.03
31-Oct-15,82.96
30-Sep-15,80.51
31-Aug-15,81.64
31-Jul-15,88.86
30-Jun-15,86.33
31-May-15,87.35
30-Apr-15,90.70
31-Mar-15,92.62
28-Feb-15,93.80
31-Jan-15,95.38
31-Dec-14,98.43
30-Nov-14,96.97
31-Oct-14,92.62
30-Sep-14,92.49
31-Aug-14,98.77
31-Jul-14,101.12
30-Jun-14,107.35
31-May-14,113.77
30-Apr-14,114.18
31-Mar-14,115.63
28-Feb-14,111.31
31-Jan-14,106.36
31-Dec-13,107.94
30-Nov-13,109.17
31-Oct-13,111.86
30-Sep-13,111.46
31-Aug-13,120.84
31-Jul-13,132.26
30-Jun-13,138.72
31-May-13,140.02
30-Apr-13,136.09
31-Mar-13,143.02
28-Feb-13,142.85
31-Jan-13,144.80
31-Dec-12,147.25
30-Nov-12,151.86
31-Oct-12,151.44
30-Sep-12,151.20
31-Aug-12,153.69
31-Jul-12,153.58
30-Jun-12,132.52
31-May-12,131.71
30-Apr-12,129.66
31-Mar-12,132.79
29-Feb-12,130.96
31-Jan-12,129.40
31-Dec-11,128.36
30-Nov-11,134.97
31-Oct-11,134.92
30-Sep-11,142.43
31-Aug-11,144.88
31-Jul-11,138.69
30-Jun-11,141.76
31-May-11,142.40
30-Apr-11,142.91
31-Mar-11,134.78
28-Feb-11,140.63
31-Jan-11,131.58
31-Dec-10,126.92
30-Nov-10,119.25
31-Oct-10,116.43
30-Sep-10,109.28
31-Aug-10,98.12
31-Jul-10,89.04
30-Jun-10,81.96
31-May-10,87.63
30-Apr-10,88.62
31-Mar-10,90.98
28-Feb-10,93.71
31-Jan-10,98.04
31-Dec-09,99.47
30-Nov-09,98.70
31-Oct-09,92.72
30-Sep-09,89.08
31-Aug-09,92.51
31-Jul-09,97.30
30-Jun-09,107.38
31-May-09,104.99
30-Apr-09,99.94
31-Mar-09,101.26
28-Feb-09,100.39
31-Jan-09,103.64
31-Dec-08,95.17
30-Nov-08,98.74
31-Oct-08,108.01
30-Sep-08,131.42
31-Aug-08,136.63
31-Jul-08,146.36
30-Jun-08,154.84
31-May-08,151.89
30-Apr-08,156.64
31-Mar-08,143.19
29-Feb-08,130.13
31-Jan-08,115.28
31-Dec-07,108.18
30-Nov-07,99.49
31-Oct-07,98.87
30-Sep-07,96.31
31-Aug-07,86.50
31-Jul-07,83.67
30-Jun-07,85.78
31-May-07,80.71
30-Apr-07,79.19
31-Mar-07,83.31
28-Feb-07,84.54
31-Jan-07,81.24
31-Dec-06,80.68
30-Nov-06,81.60
31-Oct-06,76.98
30-Sep-06,70.68
31-Aug-06,69.06
31-Jul-06,70.01
30-Jun-06,67.88
31-May-06,67.67
30-Apr-06,65.09
31-Mar-06,63.92
28-Feb-06,64.84
31-Jan-06,61.85
31-Dec-05,60.75
30-Nov-05,58.62
31-Oct-05,61.35
30-Sep-05,59.12
31-Aug-05,58.97
31-Jul-05,59.23
30-Jun-05,57.15
31-May-05,57.38
30-Apr-05,57.61
31-Mar-05,59.28
28-Feb-05,57.71
31-Jan-05,58.34
31-Dec-04,57.68
30-Nov-04,56.53
31-Oct-04,54.69
30-Sep-04,55.09
31-Aug-04,55.64
31-Jul-04,56.73
30-Jun-04,61.39
31-May-04,63.60
30-Apr-04,65.65
31-Mar-04,63.97
29-Feb-04,60.78
31-Jan-04,59.61
31-Dec-03,57.74
30-Nov-03,56.29
31-Oct-03,54.14
30-Sep-03,53.64
31-Aug-03,53.02
31-Jul-03,50.66
30-Jun-03,53.59
31-May-03,54.59
30-Apr-03,53.55
31-Mar-03,54.05
28-Feb-03,55.24
31-Jan-03,55.28
31-Dec-02,56.12
30-Nov-02,58.32
31-Oct-02,59.93
30-Sep-02,60.62
31-Aug-02,56.74
31-Jul-02,53.55
30-Jun-02,50.54
31-May-02,48.03
30-Apr-02,47.11
31-Mar-02,47.52
28-Feb-02,48.26
31-Jan-02,48.53
31-Dec-01,47.50
30-Nov-01,46.90
31-Oct-01,45.87
30-Sep-01,46.59
31-Aug-01,46.95
31-Jul-01,46.99
30-Jun-01,45.28
31-May-01,45.96
30-Apr-01,46.08
31-Mar-01,47.29
28-Feb-01,48.00
31-Jan-01,49.31
31-Dec-00,49.31
30-Nov-00,47.37
31-Oct-00,46.52
30-Sep-00,43.71
31-Aug-00,42.12
31-Jul-00,42.36
30-Jun-00,45.29
31-May-00,47.93
30-Apr-00,47.85
31-Mar-00,48.50
29-Feb-00,49.70
31-Jan-00,49.07
31-Dec-99,46.82
30-Nov-99,46.85
31-Oct-99,46.15
30-Sep-99,47.61
31-Aug-99,48.25
31-Jul-99,47.88
30-Jun-99,50.72
31-May-99,50.08
30-Apr-99,49.95
31-Mar-99,51.97
28-Feb-99,52.97
31-Jan-99,55.89
